2D,CA,440,1,830,830,LMX,M,1.89,390
2E,CA,440,1,830,830,LMX,M,1.89,390
2H,CA,435,1,700,700,AAX,M,1.61,265
3,CA,510,1,1120,1120,CHX,M,2.2,610
3A,CA,415,1,840,840,CHX,M,2.02,425
3B,CA,490,1,770,770,AAX,M,1.57,280
3C,CA,495,1,760,760,AAX,M,1.54,265
3D,CA,450,1,830,830,AAX,M,1.84,380
3E,CA,520,1,780,780,AAX,M,1.5,260
4C,CA,455,1,1080,1080,LMX,M,2.37,625
4D,CA,405,1,880,880,LMX,M,2.17,475
4E,CA,480,1,1000,1000,LMX,M,2.08,520
4H,CA,475,1,1020,1020,LMX,M,2.15,545
4J,CA,450,1,990,990,LMX,M,2.2,540
4X,CA,400,1,800,800,LMX,M,2,400
5H,CA,467,3,700,2100,LMX,M,1.5,233
5J,CA,500,2,815,1630,HEX,M,1.63,315
5T,CA,400,1,855,855,LMX,M,2.14,455
5X,CA,410,1,875,875,LMX,M,2.13,465
6,CA,415,2,705,1410,HEX,M,1.7,290
6A,CA,445,2,680,1360,HEX,M,1.53,235
6B,CA,438,2,745,1490,HEX,M,1.7,307
6C,CA,385,2,755,1510,CH,M,1.96,370
6D,CA,400,2,670,1340,HEX,M,1.68,270
6E,CA,400,1,685,685,HEX,M,1.71,285
6H,CA,375,1,650,650,LMX,M,1.73,275
7,CA,600,1,1140,1140,CHX,M,1.9,540
7A,CA,605,1,980,980,CHX,M,1.62,375
7B,CA,550,1,1000,1000,BBX,M,1.82,450
7C,CA,515,1,940,940,LMX,M,1.83,425
7D,CA,520,1,950,950,LMX,M,1.83,430
7E,CA,520,1,950,950,AAX,M,1.83,430
8,CA,547,3,920,2760,HEX,M,1.68,373
8A,CA,480,1,750,750,HEX,M,1.56,270
8B,CA,460,1,920,920,CHX,M,2,460
8C,CA,400,1,900,900,CHX,M,2.25,500
8D,CA,440,1,1030,1030,CHX,M,2.34,590
8E,CA,405,1,940,940,CHX,M,2.32,535
8H,CA,490,1,1070,1070,CHX,M,2.18,580
8J,CA,400,1,840,840,CHX,M,2.1,440
9,CA,590,1,1050,1050,AAX,M,1.78,460
9D,CA,540,2,1250,2500,CHX,M,2.31,710
9E,CA,575,1,1330,1330,CHX,M,2.31,755
9H,CA,535,2,1140,2280,CHX,M,2.13,605
9R,CA,600,1,1200,1200,BBX,M,2,600
9T,CA,440,2,805,1610,SAX,M,1.83,365
9Y,CA,385,2,835,1670,CHX,M,2.17,450
10,CA,520,1,970,970,AAX,M,1.87,450
10A,CA,520,2,970,1940,AAX,M,1.87,450
10H,CA,525,1,1260,1260,CHX,M,2.4,735
10J,CA,500,1,1120,1120,CHX,M,2.24,620
10R,CA,480,1,1150,1150,CHX,M,2.4,670
10T,CA,510,1,1120,1120,CHX,M,2.2,610
10X,CA,490,1,1140,1140,LMX,M,2.33,650
10Y,CA,465,1,1100,1100,CHX,M,2.37,635
11,CA,710,1,1380,1380,CHX,M,1.94,670
11A,CA,725,1,1490,1490,CHX,M,2.06,765
11B,CA,815,1,1460,1460,SIX,M,1.79,645
11C,CA,660,1,1430,1430,LMX,M,2.17,770
11D,CA,680,1,1360,1360,CHX,M,2,680
11E,CA,690,1,1430,1430,CHX,M,2.07,740
11H,CA,670,1,1360,1360,LMX,M,2.03,690
11J,CA,690,1,1480,1480,LMX,M,2.14,790
11T,CA,420,1,1010,1010,BBX,M,2.4,590
11X,CA,475,2,1030,2060,CHX,M,2.17,555
12,CA,500,1,1160,1160,CHX,M,2.32,660
12A,CA,520,1,1190,1190,CHX,M,2.29,670
12B,CA,500,1,1150,1150,CHX,M,2.3,650
12C,CA,420,1,940,940,CHX,M,2.24,520
12D,CA,460,1,1050,1050,CH,M,2.28,590
12E,CA,370,1,890,890,BAX,M,2.41,520
12J,CA,505,2,1080,2160,AAX,M,2.14,575
12T,CA,510,1,1170,1170,CHX,M,2.29,660
13,CA,580,1,1260,1260,CHX,M,2.17,680
13A,CA,570,2,1300,2600,CHX,M,2.28,730
13D,CA,740,1,1530,1530,CHX,M,2.07,790
13E,CA,705,1,1470,1470,LMX,M,2.09,765
13H,CA,710,1,1390,1390,CHX,M,1.96,680
13HH,CA,400,1,770,770,CHX,M,1.93,370
13J,CA,375,1,620,620,CHX,M,1.65,245
13T,CA,360,1,650,650,LMX,M,1.81,290
13X,CA,425,1,755,755,SI,M,1.78,330
14,CA,600,1,925,925,FR,M,1.54,325
14A,CA,540,1,750,750,FR,M,1.39,210
14B,CA,512,1,640,640,FR,M,1.25,128
14C,CA,488,1,730,730,FR,M,1.5,242
14D,CA,488,1,730,730,FR,M,1.5,242
14E,CA,600,1,925,925,FR,M,1.54,325
14H,CA,512,1,640,640,FR,M,1.25,128
14J,CA,540,1,750,750,FR,M,1.39,210
15C,CA,425,1,570,570,AAX,M,1.34,145
16,CA,645,1,1450,1450,LMX,M,2.25,805
16C,CA,710,1,1550,1550,LMX,M,2.18,840
16D,CA,640,1,1300,1300,SIX,M,2.03,660
16E,CA,630,1,1360,1360,CHX,M,2.16,730
17,CA,580,3,1210,3630,CHX,M,2.09,630
17A,CA,543,3,1130,3390,CHX,M,2.08,587
17B,CA,505,2,1100,2200,CHX,M,2.18,595
17X,CA,390,1,660,660,AAX,M,1.69,270
18,CA,610,3,1290,3870,LMX,M,2.11,680
18A,CA,650,1,1430,1430,CHX,M,2.2,780
18B,CA,570,1,1300,1300,CHX,M,2.28,730
18C,CA,575,1,1240,1240,LMX,M,2.16,665
18H,CA,715,2,1160,2320,AAX,M,1.62,445
18J,CA,690,2,1130,2260,AAX,M,1.64,440
19,CA,565,1,1320,1320,CHX,M,2.34,755
19A,CA,550,1,1220,1220,CHX,M,2.22,670
19B,CA,550,1,1290,1290,CHX,M,2.35,740
19C,CA,555,1,1210,1210,CHX,M,2.18,655
19D,CA,575,1,1220,1220,CHX,M,2.12,645
19E,CA,585,1,1180,1180,CHX,M,2.02,595
19H,CA,620,1,1320,1320,CHX,M,2.13,700
19J,CA,410,1,1080,1080,LMX,M,2.63,670
19T,CA,470,1,1030,1030,CHX,M,2.19,560
20,CA,430,1,850,850,LMX,M,1.98,420
